Index,Violation Date,Latitudes,Longitudes,Neighborhood District,Violation Item,Violation Item Description
0,10/20/2017,37.79059432002964,-122.39269907000002,Financial District/South Beach,PER,place of assembly/permits
1,10/20/2017,37.78573381002967,-122.42560543999998,Western Addition,COM,fire command center features
2,10/20/2017,37.78573381002967,-122.42560543999998,Western Addition,EXT,extinguisher / required
3,09/22/2005,37.76079618002965,-122.41890412999999,Mission,ALR,1001.5.1  fire alarms maintained
4,10/20/2017,37.78573381002967,-122.42560543999998,Western Addition,EXT,aes forms
5,03/30/2006,37.77180528002965,-122.43131826,Western Addition,999,other violations
6,07/06/2006,37.79126657002968,-122.41883735999998,Nob Hill,999,other violations
7,02/19/2008,37.80900020002968,-122.416287,North Beach,999,other violations
8,01/11/2010,37.78880952002966,-122.40655175,Financial District/South Beach,EXI,exits / storage in pathway
9,10/20/2017,37.78573381002967,-122.42560543999998,Western Addition,STO,storage / gas & electric meters
10,10/20/2017,37.77660511002966,-122.43105774000001,Western Addition,ALR,alarm system maintained
11,10/20/2017,37.77660511002966,-122.43105774000001,Western Addition,SPR,sprinkler testing and maintenance
12,09/21/2017,37.789157220029665,-122.40657169,Financial District/South Beach,PER,permit / general
13,09/21/2017,37.789157220029665,-122.40657169,Financial District/South Beach,REC,l-license and fire pump certificate
14,09/21/2017,37.789157220029665,-122.40657169,Financial District/South Beach,SPR,sprinkler / 5-year service
15,09/21/2017,37.789157220029665,-122.40657169,Financial District/South Beach,SFC,2016 san francisco fire code
16,10/20/2017,37.79398793002967,-122.40314274000002,Chinatown,PER,permit / general
17,09/28/2016,37.789157220029665,-122.40657169,Financial District/South Beach,ALR,alarm system maintained
18,09/28/2016,37.789157220029665,-122.40657169,Financial District/South Beach,DOR,doors / latches
19,10/20/2017,37.78994512002967,-122.41272663000001,Nob Hill,DOR,doors / blocked open
21,07/12/2005,37.76463135002965,-122.42297343,Mission,ALR,1001.5.1  fire alarms maintained
22,09/16/2005,37.78163259002966,-122.4124232,Tenderloin,999,other violations
24,08/27/2007,37.75490726002965,-122.44438558,Twin Peaks,SPR,sffc 1001.5.1.3  fire systems certified
25,08/28/2007,37.78473772002966,-122.40914854,Tenderloin,999,other violations
26,08/28/2007,37.726501380029624,-122.37885931999999,Bayview Hunters Point,PER,105.8  operating without fd permit
27,08/28/2007,37.726501380029624,-122.37885931999999,Bayview Hunters Point,999,other violations
28,08/29/2007,37.79863400002967,-122.41202756,Chinatown,SPR,sffc 1001.5.1.3  fire systems certified
30,09/28/2016,37.789157220029665,-122.40657169,Financial District/South Beach,REC,l-license and fire pump certificate
31,09/28/2016,37.789157220029665,-122.40657169,Financial District/South Beach,SIG,signs / evacuation plans
32,09/28/2016,37.789157220029665,-122.40657169,Financial District/South Beach,SPR,sprinkler / 5-year service
33,09/28/2016,37.789157220029665,-122.40657169,Financial District/South Beach,STO,storage / no combustibles allowed
34,09/28/2016,37.789157220029665,-122.40657169,Financial District/South Beach,SFC,2013 san francisco fire code
35,08/04/2017,37.769777490029654,-122.41189672000002,Mission,SFC,2016 san francisco fire code
36,08/04/2017,37.769777490029654,-122.41189672000002,Mission,SFC,2016 san francisco fire code
